IDCLIENTE,CLIENTE,USUARIOS,EJECUTIVO,TIPO DE DESCUENTO,%DESCUENTO,DIRECCION,ZONA,TIPO DE CLIENTE,GPS CLIENTE,TELEFONO,CORREO,REGFENTE,REDES SOCIALES,ASISTENTE DE FARMACIAS,ENCARGADO DE FARMACIA,priodidad,MES DE ACTIVACION,UNION,ESTATUS,CODIGO DE BRICK,DESCRIPCION IMS 
38235f10,FARMACIA SERVI FARMA,ycorreas@distrilabve.com,,VOLUMEN,,,,FUERA DE RUTA,,,,,,,,,,,DATOS DEL CLIENTE INCOMPLETO,0,
0192d10a,Mesa de negociacion NENA,myanez@distrilabve.com,,,,,,FUERA DE RUTA,,,,,,,,,,,DATOS DEL CLIENTE INCOMPLETO,000,
066d772f,Grupo medico santa paula,rbecerra@distrilabve.com,,,,Clínica santa paula,Santa paula,EN RUTA,,,,Miranda,,,,,,,DATOS DEL CLIENTE INCOMPLETO,0,
b5e21c75,BICENTENARIO 2021 II,ydelgado@distrilabve.com,,,,,,FUERA DE RUTA,,,,,,,,,,,DATOS DEL CLIENTE INCOMPLETO,0,
"FARMACIA MULTIAHORRO BARCELONA, C.A.","FARMACIA MULTIAHORRO BARCELONA, C.A.",rvina@distrilabve.com,Rafael Viña,VOLUMEN,,AV NICOLAS ROLANDO CON AV 5 DE JULIO,Barcelona Edo. Anzoátegui,,,,,,,,,,,,EN RUTA,,
"FARMACIA SALUD MARKET 10-26, C.A.","FARMACIA SALUD MARKET 10-26, C.A.",rvina@distrilabve.com,Rafael Viña,VOLUMEN,,AV.BOULEVAR 5 DE JULIO LOCAL NRO.10,Barcelona Edo. Anzoátegui,,,,,,,,,,,,EN RUTA,,
"FARMACIA SANA SANA, C.A.","FARMACIA SANA SANA, C.A.",rvina@distrilabve.com,Rafael Viña,VOLUMEN,,CLL 1 LC 1 BOYACA 2 SECT BARCELONA,Barcelona Edo. Anzoátegui,,,,,,,,,,,,EN RUTA,,
"FARMACIA SANA SANA V.C, C.A.","FARMACIA SANA SANA V.C, C.A.",rvina@distrilabve.com,Rafael Viña,VOLUMEN,,AV COSTANERA LOCAL NRO L-02 BARRIO O,Barcelona Edo. Anzoátegui,,,,,,,,,,,,EN RUTA,,
"FARMACIA VIRGEN DE LOURDES III MR, C.A.","FARMACIA VIRGEN DE LOURDES III MR, C.A.",rvina@distrilabve.com,Rafael Viña,VOLUMEN,,AV CARACAS CC VIDEMAR NIVEL PB LOCAL,Barcelona Edo. Anzoátegui,,,,,,,,,,,,EN RUTA,,
"FARMALINA, C.A.","FARMALINA, C.A.",rvina@distrilabve.com,Rafael Viña,VOLUMEN,,CALLE F LOCAL NRO 4 URB BOYACA I.,Barcelona Edo. Anzoátegui,,,,,,,,,,,,EN RUTA,,
HIPER AHORRO,HIPER AHORRO,rvina@distrilabve.com,Rafael Viña,VOLUMEN,,AV 5 DE JULIO EDIF DA VINCI PB,Barcelona Edo. Anzoátegui,,,,,,,,,,,,EN RUTA,,
FARMACIA SAAS - LA BOTICA,FARMACIA SAAS - LA BOTICA,rvina@distrilabve.com,Rafael Viña,VOLUMEN,,AV COUNTRY CLUB C/CLLE SAN CARLOS,Barcelona Edo. Anzoátegui,,,,,,,,,,,,EN RUTA,,
"FARMACIA ORTOPEDICA, C.A.","FARMACIA ORTOPEDICA, C.A.",rvina@distrilabve.com,Rafael Viña,VOLUMEN,,AV LUIS RAZETTI FTE HOSPITAL,Barcelona Edo. Anzoátegui,,,,,,,,,,,,EN RUTA,,
"FARMACIA SAN MATEO, C.A.","FARMACIA SAN MATEO, C.A.",rvina@distrilabve.com,Rafael Viña,VOLUMEN,,AV CARACAS N░ 66-63,Barcelona Edo. Anzoátegui,,,,,,,,,,,,EN RUTA,,
"FARMACIA SANA SANA, C.A.","FARMACIA SANA SANA, C.A.",rvina@distrilabve.com,Rafael Viña,VOLUMEN,,AV TRONCONAL VEREDA 12 EL CARMEN,Barcelona Edo. Anzoátegui,,,,,,,,,,,,EN RUTA,,
TODOHOGAR BARCELONA,TODOHOGAR BARCELONA,rvina@distrilabve.com,Rafael Viña,VOLUMEN,,AV 5 DE JULIO CASA 6-28,Barcelona Edo. Anzoátegui,,,,,,,,,,,,EN RUTA,,
TODOHOGAR VISTA MAR,TODOHOGAR VISTA MAR,rvina@distrilabve.com,Rafael Viña,VOLUMEN,,AV INTERCOMUNAL C.C.VISTAMAR PB,Barcelona Edo. Anzoátegui,,,,,,,,,,,,EN RUTA,,
"FARMACIA FARMAVIDA 2022, C.A.","FARMACIA FARMAVIDA 2022, C.A.",rvina@distrilabve.com,Rafael Viña,VOLUMEN,,CALLE SUCRE CASA NRO.6-73,Anaco Edo. Anzoátegui,,,,,,,,,,,,EN RUTA,,
FARMACIA HIPER AHORROS,FARMACIA HIPER AHORROS,rvina@distrilabve.com,Rafael Viña,VOLUMEN,,AV JOSE ANTONIO ANZOATEGUI CC GAROFA,Anaco Edo. Anzoátegui,,,,,,,,,,,,EN RUTA,,
"FARMANACO HH, C.A.","FARMANACO HH, C.A.",rvina@distrilabve.com,Rafael Viña,VOLUMEN,,AV ZULIA SECT PUEBLO NUEVO,Anaco Edo. Anzoátegui,,,,,,,,,,,,EN RUTA,,
"MULTI-FARMACIA SAMIR, C.A.","MULTI-FARMACIA SAMIR, C.A.",rvina@distrilabve.com,Rafael Viña,VOLUMEN,,CALLE MONAGAS ENTRE CALLE SUCRE Y C,Anaco Edo. Anzoátegui,,,,,,,,,,,,EN RUTA,,
"FARMACIA ORINOCO, C.A.","FARMACIA ORINOCO, C.A.",rvina@distrilabve.com,Rafael Viña,VOLUMEN,,CLLE ORINOCO N░ 53 CON PROLONG AV,Anaco Edo. Anzoátegui,,,,,,,,,,,,EN RUTA,,
"FARMACIA ANZOATEGUI, C.A.","FARMACIA ANZOATEGUI, C.A.",rvina@distrilabve.com,Rafael Viña,VOLUMEN,,AV FERNANDEZ PADILLA SECT CENTRO,Clarines Edo. Anzoátegui,,,,,,,,,,,,EN RUTA,,
"FARMACIA FARMACLARINES, C.A.","FARMACIA FARMACLARINES, C.A.",rvina@distrilabve.com,Rafael Viña,VOLUMEN,,AV PRINCIPAL DE CLARINES CC JORGE CE,Clarines Edo. Anzoátegui,,,,,,,,,,,,EN RUTA,,
"FARMACIA FARMACHUCHO, C.A.","FARMACIA FARMACHUCHO, C.A.",rvina@distrilabve.com,Rafael Viña,VOLUMEN,,AV MIRANDA EDIF EDIF SAN JORGE PISO,Anaco Edo. Anzoátegui,,,,,,,,,,,,EN RUTA,,
FARMACIA HIPER AHORROS,FARMACIA HIPER AHORROS,rvina@distrilabve.com,Rafael Viña,VOLUMEN,,AV PPAL DE LECHERIAS CON CALLE ANZOA,Lechería Edo. Anzoátegui,,,,,,,,,,,,EN RUTA,,
FARMACIA HIPER AHORROS,FARMACIA HIPER AHORROS,rvina@distrilabve.com,Rafael Viña,VOLUMEN,,CALLE BOLIVAR NRO 110 SECTOR CENTRO,Puerto la Cruz Edo. Anzoátegui,,,,,,,,,,,,EN RUTA,,
FARMACIA TODOHOGAR VISTAMAR,FARMACIA TODOHOGAR VISTAMAR,rvina@distrilabve.com,Rafael Viña,VOLUMEN,,AV INTERCOMUNAL JORGE RODRIGUEZ SECT,Lechería Edo. Anzoátegui,,,,,,,,,,,,EN RUTA,,
"FARMACIA JOCARI, C.A.","FARMACIA JOCARI, C.A.",rvina@distrilabve.com,Rafael Viña,VOLUMEN,,CLLE LUIS PINEDA,Lechería Edo. Anzoátegui,,,,,,,,,,,,EN RUTA,,
"FARMACIA FARMAPIRITU, C.A.","FARMACIA FARMAPIRITU, C.A.",rvina@distrilabve.com,Rafael Viña,VOLUMEN,,AV PRINCIPAL DEL TEJAR CC GABY MAR N,Puerto Píritu Edo. Anzoátegui,,,,,,,,,,,,EN RUTA,,
"INVERSIONES SUPERFARMA, C.A.","INVERSIONES SUPERFARMA, C.A.",rvina@distrilabve.com,Rafael Viña,VOLUMEN,,CALLE ANZOATEGUI SECTOR CASCO CENTRA,Puerto Píritu Edo. Anzoátegui,,,,,,,,,,,,EN RUTA,,
"FARMACIA DIVINO NI╤O JESUS, C.A.","FARMACIA DIVINO NI╤O JESUS, C.A.",rvina@distrilabve.com,Rafael Viña,VOLUMEN,,AV. STADIUM. C.C.JUDIBANA LOCAL 28 P,Puerto la Cruz Edo. Anzoátegui,,,,,,,,,,,,EN RUTA,,
"FARMACIA FARMAPLAZA PLC, C.A.","FARMACIA FARMAPLAZA PLC, C.A.",rvina@distrilabve.com,Rafael Viña,VOLUMEN,,AV ENTRE CALLE BOLIVAR Y SUCRE BOULE,Puerto la Cruz Edo. Anzoátegui,,,,,,,,,,,,EN RUTA,,
FARMACIA HIPER AHORROS,FARMACIA HIPER AHORROS,rvina@distrilabve.com,Rafael Viña,VOLUMEN,,INTERSECCI╙N DE LA CALLE GUARAGUAO Y,Puerto la Cruz Edo Inzoátegui,,,,,,,,,,,,EN RUTA,,
"FARMACIA J.G.H. 2020, C.A.","FARMACIA J.G.H. 2020, C.A.",rvina@distrilabve.com,Rafael Viña,VOLUMEN,,AV 5 DE JULIO ENTRE CALLE ANZOATEGUI,Puerto la Cruz Edo Inzoátegui,,,,,,,,,,,,EN RUTA,,
"FARMACIA JGH MAUX, C.A.","FARMACIA JGH MAUX, C.A.",rvina@distrilabve.com,Rafael Viña,VOLUMEN,,LOCAL N░62 CASCO CENTRAL PUERTO LA C,Puerto la Cruz Edo Inzoátegui,,,,,,,,,,,,EN RUTA,,
"FARMACIA Y SUMINISTROS ESTETOSCOPIO DE VENEZUELA, C.A.","FARMACIA Y SUMINISTROS ESTETOSCOPIO DE VENEZUELA, C.A.",rvina@distrilabve.com,Rafael Viña,VOLUMEN,,AV APAMATE CASA A-25B LOCAL ANEXO U,Barcelona Edo. Anzoátegui,,,,,,,,,,,,EN RUTA,,
"FARMACIA MEDIPUERTO VIRGEN DEL VALLE, C.A.","FARMACIA MEDIPUERTO VIRGEN DEL VALLE, C.A.",rvina@distrilabve.com,Rafael Viña,VOLUMEN,,CALLE ESPERANZA LOCAL N 24 SECTOR PU,Puerto la Cruz Edo. Anzoátegui,,,,,,,,,,,,EN RUTA,,
"FARMACIA VIRGEN DE LOURDES, C.A.","FARMACIA VIRGEN DE LOURDES, C.A.",rvina@distrilabve.com,Rafael Viña,VOLUMEN,,CLLE MANEIRO CLLE LIBERTAD LOCAL 22,Puerto la Cruz Edo. Anzoátegui,,,,,,,,,,,,EN RUTA,,
"FARMACIA VIRGEN DE LOURDES II, C.A.","FARMACIA VIRGEN DE LOURDES II, C.A.",rvina@distrilabve.com,Rafael Viña,VOLUMEN,,AV 5 DE JULIO,Puerto la Cruz Edo. Anzoátegui,,,,,,,,,,,,EN RUTA,,
"FARMACIA FARMACAPSULA, C.A.","FARMACIA FARMACAPSULA, C.A.",rvina@distrilabve.com,Rafael Viña,VOLUMEN,,CALLE GUAYANA EDIF. BLUE HILL PISO P,El Tigre Edo. Anzoátegui,,,,,,,,,,,,EN RUTA,,
FARMACIA HIPER AHORRO (SUC PETRUCCI),FARMACIA HIPER AHORRO (SUC PETRUCCI),rvina@distrilabve.com,Rafael Viña,VOLUMEN,,AV FRANCISCO DE MIRANDA CC PETRUCCI,El Tigre Edo. Anzoátegui,,,,,,,,,,,,EN RUTA,,
"FARMACIA MAR, C.A.","FARMACIA MAR, C.A.",rvina@distrilabve.com,Rafael Viña,VOLUMEN,,CALLE 1ERA SUR C/C 7MA CARRERA EDIF,El Tigre Edo. Anzoátegui,,,,,,,,,,,,EN RUTA,,
"FARMACIA MULTIAHORRO PLC, C.A.","FARMACIA MULTIAHORRO PLC, C.A.",rvina@distrilabve.com,Rafael Viña,VOLUMEN,,AV 5 DE JULIO CALLE BUENOS AIRES,Puerto la Cruz Edo. Anzoátegui,,,,,,,,,,,,EN RUTA,,
"FARMACIA MULTIAHORRO TOTAL, C.A.","FARMACIA MULTIAHORRO TOTAL, C.A.",rvina@distrilabve.com,Rafael Viña,VOLUMEN,,3ERA CARRERA SUR ENTRE CALLE 15 SUR,El Tigre Edo. Anzoátegui,,,,,,,,,,,,EN RUTA,,
"HOSPISALUD EL TIGRE SUCURSAL, C.A.","HOSPISALUD EL TIGRE SUCURSAL, C.A.",rvina@distrilabve.com,Rafael Viña,VOLUMEN,,1RA. CALLE SUR,El Tigre Edo. Anzoátegui,,,,,,,,,,,,EN RUTA,,
"HOSPISALUD EL TIGRE, C.A.","HOSPISALUD EL TIGRE, C.A.",rvina@distrilabve.com,Rafael Viña,VOLUMEN,,AV WINSTON CHURCHILL SECT PUEBLO,El Tigre Edo. Anzoátegui,,,,,,,,,,,,EN RUTA,,
"MULTIAHORRO, C.A.","MULTIAHORRO, C.A.",rvina@distrilabve.com,Rafael Viña,VOLUMEN,,CLLE SUCRE SECT CASCO VIEJO,El Tigre Edo. Anzoátegui,,,,,,,,,,,,EN RUTA,,
"FARMACIA NUÑEZ, C.A.","FARMACIA NUÑEZ, C.A.",rvina@distrilabve.com,Rafael Viña,VOLUMEN,,CLLE BUENOS AIRES N░ 3 DIAG MERCADO,El Tigre Edo. Anzoátegui,,,,,,,,,,,,EN RUTA,,
"FARMACIA HOSPI-SALUD GUANIPA, C.A.","FARMACIA HOSPI-SALUD GUANIPA, C.A.",rvina@distrilabve.com,Rafael Viña,VOLUMEN,,AV FERNANDEZ PADILLA EL TIGRITO,El Tigre Edo. Anzoátegui,,,,,,,,,,,,EN RUTA,,
"MULTIAHORRO GUANIPA, C.A.","MULTIAHORRO GUANIPA, C.A.",rvina@distrilabve.com,Rafael Viña,VOLUMEN,,CLL VZLA SEC MCDO MUNICIPAL SAN JOSE,El Tigre Edo. Anzoátegui,,,,,,,,,,,,EN RUTA,,
"FARMAJUSTO 2021, C.A.","FARMAJUSTO 2021, C.A.",rvina@distrilabve.com,Rafael Viña,VOLUMEN,,AV PRINCIPAL GULF LOCAL NRO 15-A SEC,Puerto la Cruz Edo. Anzoátegui,,,,,,,,,,,,EN RUTA,,
FARMACIA HIPER AHORRO SUCURSAL MAGUEY,FARMACIA HIPER AHORRO SUCURSAL MAGUEY,rvina@distrilabve.com,Rafael Viña,VOLUMEN,,"AV. INTERCOMUNAL JORGE RODRÍGUEZ, FRENTE AL POLIDEPORTIVO SIMÓN BOLÍVAR",Puerto la Cruz Edo. Anzoátegui,,,,,,,,,,,,EN RUTA,,
FARMACIA HIPER AHORRO SUCURSAL MAS X MENOS LECHERIA,FARMACIA HIPER AHORRO SUCURSAL MAS X MENOS LECHERIA,rvina@distrilabve.com,Rafael Viña,VOLUMEN,,AV. PRINCIPAL DE LECHERÍA,Lechería Edo. Anzoátegui,,,,,,,,,,,,EN RUTA,,
TODOHOGAR LECHERÍA,TODOHOGAR LECHERÍA,rvina@distrilabve.com,Rafael Viña,VOLUMEN,,AV PRINCIPAL DE LECHERÍA,Lechería Edo. Anzoátegui,,,,,,,,,,,,EN RUTA,,
TODOHOGAR MUNICIPAL,TODOHOGAR MUNICIPAL,rvina@distrilabve.com,Rafael Viña,VOLUMEN,,AV. MUNICIPAL,Puerto la Cruz Edo. Anzoátegui,,,,,,,,,,,,EN RUTA,,
TODOHOGAR GUANTA,TODOHOGAR GUANTA,rvina@distrilabve.com,Rafael Viña,VOLUMEN,,CALLE REAL,Guanta Edo. Anzoátegui,,,,,,,,,,,,EN RUTA,,
TODOHOGAR COLINAS,TODOHOGAR COLINAS,rvina@distrilabve.com,Rafael Viña,VOLUMEN,,AV. GUZMÁN LANDER,Barcelona Edo. Anzoátegui,,,,,,,,,,,,EN RUTA,,
TODOHOGAR LA CHICA,TODOHOGAR LA CHICA,rvina@distrilabve.com,Rafael Viña,VOLUMEN,,BOULEVARD 5 DE JULIO,Barcelona Edo. Anzoátegui,,,,,,,,,,,,EN RUTA,,
ARABELLA - FARMATODO,ARABELLA - FARMATODO,rvina@distrilabve.com,Rafael Viña,VOLUMEN,,AV. NUEVA ESPARTA SECTOR LAS GARZAS,Lechería Edo. Anzoátegui,,,,,,,,,,,,EN RUTA,,
MARIAS  -FARMATODO,MARIAS  -FARMATODO,rvina@distrilabve.com,Rafael Viña,VOLUMEN,,CARRERA 36 AV. DR ILDEMARO LOVERA URB B,Barcelona Edo. Anzoátegui,,,,,,,,,,,,EN RUTA,,
SERRANIA - FARMATODO,SERRANIA - FARMATODO,rvina@distrilabve.com,Rafael Viña,VOLUMEN,,AV. FUERZAS ARMADAS C.C.NEVERI PLAZA,Barcelona Edo. Anzoátegui,,,,,,,,,,,,EN RUTA,,
CORAL - FARMATODO,CORAL - FARMATODO,rvina@distrilabve.com,Rafael Viña,VOLUMEN,,AV. ANZOATEGUI DISTRITO ANACO,Anaco Edo. Anzoátegui,,,,,,,,,,,,EN RUTA,,
KAVAC - FARMATODO,KAVAC - FARMATODO,rvina@distrilabve.com,Rafael Viña,VOLUMEN,,AV. MIRANDA N░ 64-2 PB,Anaco Edo. Anzoátegui,,,,,,,,,,,,EN RUTA,,
DAVID - FARMATODO,DAVID - FARMATODO,rvina@distrilabve.com,Rafael Viña,VOLUMEN,,CLLE MARI╤O C/LIC URBANEJA PE╤ONAL,Lechería Edo. Anzoátegui,,,,,,,,,,,,EN RUTA,,
PLAYA LIDO - FARMATODO,PLAYA LIDO - FARMATODO,rvina@distrilabve.com,Rafael Viña,VOLUMEN,,AV. PRINCIPAL DE LECHERIA URB. ROMULO GALLEGOS,Lechería Edo. Anzoátegui,,,,,,,,,,,,EN RUTA,,
CHAPARRAL - FARMATODO,CHAPARRAL - FARMATODO,rvina@distrilabve.com,Rafael Viña,VOLUMEN,,AV. WINSTON CHURCHILL C/CLLE 16 SUR,El Tigre Edo. Anzoátegui,,,,,,,,,,,,EN RUTA,,
b175bf55,FCIA CONCORDIA,ydelgado@distrilabve.com,,,,,,FUERA DE RUTA,,,,,,,,,,,DATOS DEL CLIENTE INCOMPLETO,0,
8ed874db,N2 escorpión,rbecerra@distrilabve.com,,,,Caracas,Caracas,EN RUTA,,,,Distrito capital,,,,,,,DATOS DEL CLIENTE INCOMPLETO,0,
1c40f9ef,N2 saman,rbecerra@distrilabve.com,,,,Caracas,Acarigua,FUERA DE RUTA,,,,Portuguesa,,,,,,,DATOS DEL CLIENTE INCOMPLETO,0,
a9f0fe11,N2 anaconda,rbecerra@distrilabve.com,,,,Ccs,Caracas,EN RUTA,,,,Distrito capital,,,,,,,DATOS DEL CLIENTE INCOMPLETO,0,
5b51939a,Reunión equipo centro y trabajo admi,rmichelena@distrilabve.com,,,,,,FUERA DE RUTA,"10.246049, -68.012975",,,,,,,,,,DATOS DEL CLIENTE INCOMPLETO,0000,
ed3affe5,Clinifarma san benito,myanez@distrilabve.com,,VOLUMEN,,Barquisimeto,Barquisimeto,FUERA DE RUTA,"10.095686, -69.312404",,,Lara,,,,,,,DATOS DEL CLIENTE INCOMPLETO,0312,
94dc64df,Fcia Saas 18 de Octubre,ydelgado@distrilabve.com,,,,,,EN RUTA,"10.697060, -71.611269",,,,,,,,,,DATOS DEL CLIENTE INCOMPLETO,0,
3c66a948,"FARMACIA OPTIMA SALUD, C.A.",eperez@distrilabve.com,,VOLUMEN,,Av Gumilla con calle Anzoategui San Felix,San Felix Edo. Bolivar,EN RUTA,"8.337938, -62.654349",04148772969,,,,Ejunaida Abboud,Ejunaida Abboud,,,,DATOS DEL CLIENTE INCOMPLETO,0802,"FARMACIA OPTIMA SALUD, C.A."
81ec05d3,"FARMACIA MAXIMA SALUD, C.A.",eperez@distrilabve.com,,VOLUMEN,,Centro de San Felix,San Felix Edo. Bolivar,EN RUTA,,04148772969,,,,Ejunaida Abboud,Ejunaida Abboud,,,,DATOS DEL CLIENTE INCOMPLETO,0802,"FARMACIA MAXIMA SALUD, C.A."
9efa4041,"FARMACIA MAXIMA SALUD, C.A. SUC",eperez@distrilabve.com,,VOLUMEN,,Av. Manuel Piar frente a la Clinica Manuel Piar,San Felix Edo. Bolivar,EN RUTA,"8.361042, -62.634385",04148772969,maximasucursal1@gmail.com,,,Ejunaida Abboud,Hilal Abboud,,,,DATOS COMPLETOS,0802,"FARMACIA MAXIMA SALUD, C.A. SUC"
af88c03d,"FARMACIA MAXIMA SALUD, C.A. SUC 3",eperez@distrilabve.com,,VOLUMEN,,Calle Paez cerca del Mercado San Felix,San Felix Edo. Bolivar,EN RUTA,,04148772969,,,,Ejunaida Abboud,Ejunaida Abboud,,,,DATOS DEL CLIENTE INCOMPLETO,0802,"FARMACIA MAXIMA SALUD, C.A. SUC 3"
ee5469e4,"FARMACIA OPTIMA SALUD, C.A. SUC",eperez@distrilabve.com,,VOLUMEN,,Redoma el Dorado San Felix,San Felix Edo. Bolivar,EN RUTA,,04148772969,,,,Ejunaida Abboud,Ejunaida Abboud,,,,DATOS DEL CLIENTE INCOMPLETO,0802,"FARMACIA OPTIMA SALUD, C.A. SUC"
60fc6e80,"FARMASALUDEXPRESS, C.A.",eperez@distrilabve.com,,VOLUMEN,,Av Manuel Piar Manzana 163 Parcela 2 Local 1 y 2,San Felix Edo. Bolivar,EN RUTA,"8.359094, -62.633381",04148772969,,,,Joel Diaz,Ejunaida Abboud,,,,DATOS DEL CLIENTE INCOMPLETO,0802,"FARMASALUDEXPRESS, C.A."
20aaf01c,"FARMASALUDEXPRESS, C.A. SUC",eperez@distrilabve.com,,VOLUMEN,,"Av Manuel Piar, al lado de Farmacia Fortin",San Felix Edo. Bolivar,EN RUTA,"8.363508, -62.638939",04148772969,farmasaludexpressuc1@gmail.com,,,Omar Mendez,Ejunaida Abboud,,,,DATOS COMPLETOS,0802,"FARMASALUDEXPRESS, C.A. SUC"
4aa08bf7,FARMACIA FARMATONYS 2 C.A.,eperez@distrilabve.com,,VOLUMEN,,Av. Guarapiche Sector Unare I,Puerto Ordaz Edo. Bolivar,EN RUTA,,04249386273,farmaciatonys@gmail.com,,,Betzidia Ascanio,Betzidia Ascanio,,,,DATOS COMPLETOS,0801,FARMACIA FARMATONYS 2 C.A.
e5ef13d0,Franchis sak san jacinto,myanez@distrilabve.com,,VOLUMEN,,San jacinto,Barquisimeto,FUERA DE RUTA,"10.093398, -69.313409",,,Lara,,,,,,,DATOS DEL CLIENTE INCOMPLETO,0306,
49a66856,Fcia líder,ydelgado@distrilabve.com,,,,,,FUERA DE RUTA,"10.711805, -71.522501",,,,,,,,,,DATOS DEL CLIENTE INCOMPLETO,0,
a22eeb91,Farma Roca Este,aromagnoli@distrilabve.com,,VOLUMEN,,Urb la Roca,Este,FUERA DE RUTA,,,,,,,,,,,DATOS DEL CLIENTE INCOMPLETO,0311,
c3c2643c,Gran Jesus,ydelgado@distrilabve.com,,,,,,FUERA DE RUTA,,,,,,,,,,,DATOS DEL CLIENTE INCOMPLETO,0,
7562e31a,JUSTO Y BUENO,ydelgado@distrilabve.com,,,,,,FUERA DE RUTA,,,,,,,,,,,DATOS DEL CLIENTE INCOMPLETO,0,
8d1de576,Concordia San Jose,ydelgado@distrilabve.com,,,,,,FUERA DE RUTA,"10.415418, -71.455388",,,,,,,,,,DATOS DEL CLIENTE INCOMPLETO,0,
2e27294b,"Farmacia che gabriel, c.a. fsi",myanez@distrilabve.com,,VOLUMEN,,,Barquisimeto,FUERA DE RUTA,"10.043271, -69.396892",,,Lara,,,,,,,DATOS DEL CLIENTE INCOMPLETO,3006,
cbf338eb,Clinifarma cerrito blanco,myanez@distrilabve.com,,VOLUMEN,,Cerrito blanco,Barquisimeto,FUERA DE RUTA,"10.045686, -69.397258",,,Lara,,,,,,,DATOS DEL CLIENTE INCOMPLETO,3006,
73a1908e,Traslado foraneo,rmichelena@distrilabve.com,,,,,,FUERA DE RUTA,"10.166848, -67.991171",,,,,,,,,,DATOS DEL CLIENTE INCOMPLETO,0000,
f7bbd75e,Farmacia Guamacho 2 Hospital,vpinero@distrilabve.com,,VOLUMEN,,,Cumarebo,EN RUTA,"11.490674, -69.346216",,,,,,,,,,DATOS DEL CLIENTE INCOMPLETO,4,
c0a50a67,Farmacia Ospino Santa marta,aromagnoli@distrilabve.com,,VOLUMEN,,,,FUERA DE RUTA,,,,,,,,,,,DATOS DEL CLIENTE INCOMPLETO,3319,
954134b3,N2 nirgua,rbecerra@distrilabve.com,,,,0,Nirgua,FUERA DE RUTA,,,,Yaracuy,,,,,,,DATOS DEL CLIENTE INCOMPLETO,0,
72faa32e,FARMACIA TU SALUD C.A,jvalera@distrilabve.com,,,,,KM 23,FUERA DE RUTA,,,,TRUJILLO,,,,,,,DATOS DEL CLIENTE INCOMPLETO,3110,
a1136121,CASA FARMACIA C.A,jvalera@distrilabve.com,,,,,VALERA,FUERA DE RUTA,,,,TRUJILLO,,,,,,,DATOS DEL CLIENTE INCOMPLETO,3102,
755323ed,FARMACIA ARAPUEY C.A,jvalera@distrilabve.com,,,,,ARAPUEY,FUERA DE RUTA,,,,TRUJILLO,,,,,,,DATOS DEL CLIENTE INCOMPLETO,3110,
c5e56a53,FARMACIA FARMA PLAZA MURACHI,jvalera@distrilabve.com,,,,,VALERA,FUERA DE RUTA,,,,TRUJILLO,,,,,,,DATOS DEL CLIENTE INCOMPLETO,3102,
4e4236ce,FARMACIA K SALUD EL PUNTO C.A,jvalera@distrilabve.com,,,,,VALERA,FUERA DE RUTA,,,,TRUJILLO,,,,,,,DATOS DEL CLIENTE INCOMPLETO,3102,
afba9639,FARMACIA LAS PREVISORA C.A,jvalera@distrilabve.com,,,,,VALERA,FUERA DE RUTA,,,,TRUJILLO,,,,,,,DATOS DEL CLIENTE INCOMPLETO,3102,
c1ed1eba,FCIA CONCORDIA MARCHAP 2,ydelgado@distrilabve.com,,,,,,FUERA DE RUTA,,,,,,,,,,,DATOS DEL CLIENTE INCOMPLETO,0,
67e524cd,FCIA CONCORDIA NUEVA CUMANA,ydelgado@distrilabve.com,,,,,,FUERA DE RUTA,,,,,,,,,,,DATOS DEL CLIENTE INCOMPLETO,0,
a0b3d528,CONCORDIA SANTA RITA,ydelgado@distrilabve.com,,,,,,FUERA DE RUTA,,,,,,,,,,,DATOS DEL CLIENTE INCOMPLETO,0,
62c02905,Farmavida Acarigua,aromagnoli@distrilabve.com,,,,Av 30 calle 30,Acarigua,EN RUTA,,,,Portuguesa,,,,,,,DATOS DEL CLIENTE INCOMPLETO,3301,
ac484e16,Farmatodo Marycarmen,aromagnoli@distrilabve.com,,,,Calle 32 carrera 19,,FARMATODO,,,,,,,,,,,DATOS DEL CLIENTE INCOMPLETO,331,
feacedc4,FARMACIS LUCIAS SUCURSAL,jvalera@distrilabve.com,,,,,SABANA DE MENDOZA,FUERA DE RUTA,,,,TRUJILLO,,,,,,,DATOS DEL CLIENTE INCOMPLETO,3110,
384f3a1e,Espíritu Santo,ydelgado@distrilabve.com,,,,,,FUERA DE RUTA,"10.960161, -71.730811",,,,,,,,,,DATOS DEL CLIENTE INCOMPLETO,0,
d7bdebfd,Mega farmacia XXI,ydelgado@distrilabve.com,,,,,,FUERA DE RUTA,"10.960785, -71.730180",,,,,,,,,,DATOS DEL CLIENTE INCOMPLETO,0,
fbca7af2,Farmacia Adonay,rmichelena@distrilabve.com,,,,,,FUERA DE RUTA,"10.160310, -67.977614",,,,,,,,,,DATOS DEL CLIENTE INCOMPLETO,0000,
5c73aa5d,Farma salud Mara,ydelgado@distrilabve.com,,,,,,FUERA DE RUTA,"10.811876, -71.756918",,,,,,,,,,DATOS DEL CLIENTE INCOMPLETO,0,
c0e563cf,Ibefarma chivacoa,myanez@distrilabve.com,,VOLUMEN,,Chivacoa,Chivacoa,FUERA DE RUTA,"10.163759, -68.896243",,,Yaracuy,,,,,,,DATOS DEL CLIENTE INCOMPLETO,3202,
